股票代码,股息率_L12M_派息日,股本回报率_Y,收入增长_L4Q,流动比率_L4Q,对数流通市值,换手率_30D,动量_9M_调整,盈利收益_L4Q,波动率_250D
300122,0.00838,0.40778,0.84644,1.57642,2.05182,0.01063,0.46312,0.02228 ,0.023817
300124,0.00781,0.19718,0.4931,2.08784,2.16323,0.01081,0.3185,0.02565 ,0.02108
300136,0,0.30527,0.05735,1.7684,1.50842,0.04381,0.87677,0.02616 ,0.0332
300142,0.00099,0.24116,0.49381,2.96455,1.89537,0.0093,0.09075,0.02393 ,0.027016
300144,0.00436,0.14885,-0.17812,2.89973,2.12946,0.01026,0.26052,0.03594 ,0.020739
300347,0.00345,0.17317,0.23506,1.95538,1.7037,0.01447,0.76262,0.01465 ,0.025388
300408,0.01168,0.20429,-0.40089,7.42643,1.62819,0.00942,0.3731,0.02837 ,0.023356
300413,0,0.25092,0.24226,1.4672,2.14753,0.00992,1.03994,0.01312 ,0.028098
300433,0.00143,0.03545,0.14032,0.74794,2.18584,0.02142,2.03106,0.00999 ,0.035943
300498,0.01589,0.12347,0.15146,1.62494,2.93488,0.00525,-0.03593,0.04479 ,0.027851
600000,0.03469,0.13305,0.08771,--,1.0644,0.00152,-0.07648,0.20838 ,0.013445
600004,0,0.07535,-0.05246,0.37838,1.27745,0.00468,-0.09377,0.03042 ,0.025012
600009,0,0.16378,0.14884,3.54072,2.0713,0.0163,-0.08208,0.04388 ,0.020646
600010,0.00609,0.06515,-0.00065,0.56849,1.40357,0.00424,-0.31125,0.04220 ,0.018096
600011,0.02288,0.02482,0.0053,0.42878,2.20048,0.0018,-0.23609,0.09282 ,0.014558
600015,0.02685,0.12052,0.24427,--,0.387,0.00318,-0.06339,0.21803 ,0.009518
600016,0.06161,0.12566,0.11525,--,0.86782,0.00253,-0.02911,0.21732 ,0.009234
600018,0.03476,0.14393,0.09763,1.98471,2.41943,0.00167,-0.29125,0.12716 ,0.024895
600019,0.10461,0.128,-0.01007,0.92898,2.53946,0.00202,-0.19523,0.14760 ,0.015358
600023,0.0531,0.06275,-0.09876,1.62899,2.16145,0.00089,-0.19997,0.09340 ,0.011136
600025,0.04972,0.13944,0.1823,0.22155,1.81682,0.00434,0.00024,0.13577 ,0.016168
600027,0.02157,0.03724,0.02367,0.36905,1.4398,0.00482,-0.11211,0.12134 ,0.016036
600028,0.05765,0.09381,-0.04971,0.90576,4.99342,0.00104,-0.1021,0.10801 ,0.010302
600029,0.00949,0.04925,0.05787,0.2294,1.65942,0.00579,-0.16682,0.04897 ,0.02143
600030,0,0.07849,0.0354,--,1.8531,0.01236,0.03272,0.04318 ,0.022873
600031,0.01616,0.21413,0.18148,1.53667,4.50326,0.01926,0.2952,0.07945 ,0.024433
600036,0.03028,0.16857,0.11847,--,1.51389,0.00651,-0.03885,0.11627 ,0.0163
600038,0.00622,0.0657,0.28387,1.38516,1.26791,0.00857,0.10958,0.02477 ,0.019043
600048,0.0344,0.15171,0.14878,1.69418,3.05858,0.00539,0.1853,0.17473 ,0.020736
600050,0.01008,0.02981,0.0221,0.38179,3.11187,0.00797,-0.1111,0.06791 ,0.019932
600061,0.00627,0.05115,-0.17122,1.35674,0.80987,0.00847,-0.06099,0.06463 ,0.027142
600066,0.03943,0.1439,0.13589,1.60642,1.97192,0.00533,0.10901,0.08763 ,0.023306
600068,0,0.11226,0.08762,1.15451,1.9973,0.01028,-0.00204,0.20719 ,0.019446
600085,0.01062,0.1316,-0.12705,3.42438,1.64715,0.0042,-0.01917,0.05246 ,0.013905
600089,0.02308,0.06943,-0.127,1.46209,2.00416,0.03437,-0.08146,0.07353 ,0.018324
600100,0,-0.15656,-0.05,1.16476,1.60064,0.00931,-0.0021,-0.09407 ,0.025022
600104,0.06614,0.17386,-0.00399,1.14335,3.87422,0.00289,-0.05783,0.17111 ,0.019254
600109,0.00418,0.05322,0.20163,--,0.35092,0.01737,0.04743,0.04050 ,0.025712
600111,0.00573,0.05011,0.5362,2.70274,1.68061,0.00532,-0.24243,0.01902 ,0.025032
600115,0,0.05076,0.03467,0.231,1.62112,0.00545,-0.20545,0.04076 ,0.02318
600118,0.00352,0.07241,-0.0524,1.89064,1.64249,0.02429,0.57455,0.01308 ,0.028247
600153,0.06821,0.1555,0.21926,1.59023,1.03377,0.00491,-0.09577,0.37179 ,0.018194
600170,0.04245,0.10446,0.31585,1.22301,1.91385,0.00402,-0.12102,0.15723 ,0.015167
600176,0.02809,0.17578,0.0247,0.64867,2.19107,0.00923,0.04,0.07192 ,0.021012
600177,0.05486,0.13931,0.99367,1.08563,1.5194,0.00544,0.0628,0.13512 ,0.01549
600183,0.01113,0.16063,0.10439,1.91405,2.16106,0.01584,0.89371,0.01993 ,0.036568
600188,0.06308,0.13136,0.04088,1.11727,1.16041,0.00374,-0.03693,0.28878 ,0.019781
600196,0,0.09536,0.12278,1.1021,2.1694,0.02991,0.04204,0.04140 ,0.021623
600208,0.01897,0.08006,1.5401,1.90982,1.32335,0.00684,0.07269,0.12719 ,0.028027
600219,0.02381,0.04065,0.09056,2.29073,1.25974,0.00454,-0.03926,0.05602 ,0.015482
600221,0,-0.05113,0.10458,0.43665,1.2699,0.00769,-0.21576,-0.13300 ,0.019505
600233,0.01369,0.18261,0.16868,1.79008,1.37815,0.0097,0.17784,0.06611 ,0.023685
600271,0.02132,0.2141,-0.0392,2.8524,2.01919,0.0059,-0.00171,0.07642 ,0.022303
600276,0.00229,0.22726,0.47269,7.76207,3.80101,0.00564,0.35755,0.01366 ,0.019366
600297,0.00366,0.0879,-0.01865,1.15951,2.12973,0.0048,-0.20678,0.09156 ,0.024221
600299,0.01455,0.14089,0.06483,3.11128,2.32249,0.0123,0.01719,0.04144 ,0.024006
600309,0.0493,0.36654,0.07128,0.7055,2.93191,0.02318,0.19181,0.08049 ,0.02232
600332,0.01385,0.16666,0.11212,1.62554,1.87388,0.00885,-0.0821,0.06841 ,0.021536
600340,0.05541,0.18772,1.51679,1.52958,2.14522,0.00424,-0.17479,0.21137 ,0.020149
600346,0.01627,0.19297,0.9561,0.64133,2.97537,0.00684,0.35009,0.07092 ,0.023663
600352,0.01902,0.20608,0.29166,2.69631,2.60107,0.01364,-0.15709,0.11557 ,0.031392
600362,0.01586,0.04812,0.13952,1.35324,1.49408,0.00833,-0.05655,0.05544 ,0.019573
600369,0,0.01103,0.50683,--,0.29544,0.00478,0.02063,0.02129 ,0.024208
600372,0.00383,0.06286,0.07004,1.41897,1.20063,0.00455,-0.00882,0.02249 ,0.020541
600383,0.04677,0.19456,0.08947,1.56323,2.04889,0.0057,0.19641,0.21929 ,0.024408
600390,0,0.07604,0.2589,0.88932,0.5009,0.00421,0.01921,0.10658 ,0.025097
600398,0.06073,0.28476,0.31003,1.7409,2.94103,0.00199,-0.20022,0.12268 ,0.015881
600406,0.01863,0.17615,-0.05409,1.78516,2.70289,0.00922,0.04283,0.04664 ,0.022974
600436,0.00497,0.23194,0.22441,3.96211,2.35545,0.00572,0.09342,0.01838 ,0.019912
600438,0.01092,0.1404,0.33325,0.68057,2.67881,0.02371,0.29476,0.04629 ,0.030559
600482,0,0.05274,0.12947,2.36752,0.7518,0.00307,-0.21241,0.04150 ,0.022869
600487,0.00732,0.21555,0.04004,1.22013,2.04463,0.05697,-0.0351,0.04126 ,0.028146
600489,0.0026,0.02153,0.11958,1.05211,1.50771,0.00912,-0.11193,0.02043 ,0.022507
600498,0.00884,0.08611,-0.06282,1.2871,2.17345,0.08519,-0.07472,0.01942 ,0.026068
600516,0,0.50519,-0.45155,6.07639,1.45542,0.00928,-0.08712,0.12347 ,0.028513
600519,0.01404,0.3545,0.13278,3.71854,3.6992,0.00479,0.12728,0.03358 ,0.019725
600522,0.00819,0.1144,0.33232,2.10955,2.03541,0.09685,-0.10753,0.05232 ,0.023935
600535,0.02156,0.15775,0.02779,2.12255,1.21669,0.00648,-0.05798,0.06417 ,0.02124
600547,0,0.04622,1.27148,0.53992,2.39325,0.01964,0.23146,0.01293 ,0.027308
600566,0.05832,0.28074,-0.06623,2.53898,1.03422,0.01018,-0.16859,0.09443 ,0.022794
600570,0.00277,0.20249,0.2842,1.69918,2.63812,0.01682,0.38797,0.01546 ,0.029552
600583,0.01,0.00347,0.13939,2.06546,1.04503,0.00599,0.1775,-0.01878 ,0.021641
600585,0.03197,0.29404,0.22037,3.24975,3.68105,0.01283,0.28557,0.12037 ,0.020519
600588,0.00432,0.11258,0.09964,1.06533,3.06195,0.00973,0.61333,0.00971 ,0.032119
600606,0.05576,0.15835,0.23067,1.28041,2.16191,0.0052,-0.08176,0.30923 ,0.016998
600637,0.0286,0.07332,-0.12966,3.5336,2.02372,0.00582,0.07502,0.06136 ,0.022247
600655,0.03882,0.15711,0.39769,1.57099,1.28073,0.00426,-0.07853,0.14080 ,0.01974
600660,0.03098,0.20958,0.06135,1.22521,2.26731,0.01084,0.12,0.06590 ,0.016169
600663,0.0374,0.19096,0.16763,1.1821,1.5188,0.00095,-0.22143,0.10305 ,0.019014
600674,0.03476,0.14966,-0.01339,0.39726,1.97934,0.00201,0.02382,0.09125 ,0.012831
600690,0,0.19181,0.04905,1.09908,2.25374,0.00748,0.08529,0.13740 ,0.020385
600703,0,0.13798,-0.12413,2.31569,2.47625,0.02394,1.33891,0.01433 ,0.038613
600705,0,0.11332,0.20612,1.00762,0.51955,0.00298,-0.19337,0.12440 ,0.020986
600733,0,0.01751,0.81336,1.45667,0.97703,0.01387,-0.25959,-0.01423 ,0.032221
600741,0.05048,0.1998,-0.05754,1.19235,2.75144,0.00855,0.32646,0.13026 ,0.024693
600760,0,0.09613,-0.13683,1.17939,0.51257,0.03144,-0.0059,0.02757 ,0.02216
600795,0.0197,0.02513,0.78965,0.37642,2.02524,0.00326,-0.1541,0.11033 ,0.011247
600809,0,0.26393,0.46738,1.72273,1.6953,0.00608,0.40598,0.02781 ,0.025966
600816,0,-0.12686,-0.51502,--,-0.24045,0.01036,-0.41592,-0.16383 ,0.031709
600837,0.01137,0.04441,0.41679,--,1.31257,0.00813,0.04913,0.06429 ,0.02432
600848,0.00332,0.0551,-0.08828,1.90251,1.0431,0.00293,-0.31429,0.03468 ,0.029353
600867,0.01901,0.18097,0.14138,3.41702,1.23469,0.01344,-0.19785,0.03921 ,0.028606
600886,0.0298,0.128,0.01085,0.59509,2.26064,0.00242,0.04088,0.18222 ,0.016166
600887,0.02462,0.24221,0.10388,1.00391,2.28009,0.00818,-0.05629,0.04076 ,0.019267
600893,0.00611,0.03589,-0.28281,1.09831,1.82998,0.00796,0.16018,0.01654 ,0.020784
600900,0.04124,0.16278,-0.10749,0.18218,4.10173,0.00117,0.03551,0.06218 ,0.010695
600919,0.0562,0.13439,0.27697,--,0.2845,0.00213,-0.05762,0.21563 ,0.011083
600926,0.03189,0.12157,0.26069,--,-0.06334,0.00336,0.07306,0.15678 ,0.013181
600928,0.02792,0.12544,--,--,-1.00893,0.0098,-0.22839,0.07898 ,0.027712
600958,0.00899,0.02421,1.41596,--,0.80922,0.0054,-0.0484,0.03186 ,0.021009
600968,0,--,--,1.42748,-0.32416,0.01857,--,0.03712 ,0.025327
600977,0.02199,0.14086,-0.1813,2.90568,1.71232,0.0071,-0.09797,0.04967 ,0.02528
600989,0,0.16281,--,0.87741,-0.00938,0.01852,-0.24608,0.04375 ,0.021652
600998,0.00559,0.06921,0.17152,1.28284,1.54244,0.00909,0.3161,0.04861 ,0.020347
600999,0,0.05554,0.45038,--,1.23337,0.00273,0.09608,0.05536 ,0.020055
601006,0.07069,0.14994,-0.00117,1.80408,2.40482,0.0021,-0.11495,0.17087 ,0.009915
601009,0.05414,0.1758,0.16692,--,0.22016,0.00405,-0.01852,0.20369 ,0.015878
601012,0.00399,0.16522,0.83796,1.5716,3.14427,0.015,0.38953,0.05031 ,0.025667
601018,0.02897,0.07868,0.08293,0.76222,1.64998,0.00135,-0.21607,0.08976 ,0.022039
601021,0.00605,0.13795,0.14766,1.24102,1.36055,0.01712,-0.12516,0.05968 ,0.020992
601066,0,0.06757,0.48783,--,0.29967,0.03561,0.32309,0.01992 ,0.036725
601088,0.0591,0.13873,-0.07826,1.78652,3.08222,0.0018,-0.14787,0.18476 ,0.013728
601108,0.0067,0.04016,0.95032,--,0.24826,0.02805,-0.04021,0.03054 ,0.02853
601111,0.01544,0.0839,-0.02261,0.32258,2.04466,0.00844,-0.13184,0.08416 ,0.023668
601117,0.01938,0.06344,0.24465,1.33842,1.96768,0.00891,0.15817,0.09600 ,0.019768
601138,0.0095,0.33638,-0.12442,1.58924,1.33261,0.03517,0.51038,0.06434 ,0.030064
601155,0.05148,0.31737,0.38287,1.14023,2.15706,0.00953,-0.16105,0.18740 ,0.029101
601162,0.00093,--,--,--,-0.00385,0.04672,-0.41758,0.00891 ,0.03232
601166,0.04481,0.14521,0.13254,--,1.08322,0.00558,-0.03454,0.20518 ,0.015995
601169,0.05921,0.12016,0.11832,--,0.41954,0.00301,-0.06744,0.21207 ,0.009417
601186,0.02145,0.10279,0.15221,1.08271,3.16976,0.00774,-0.05151,0.16599 ,0.01922
601198,0.00977,0.05181,0.25492,--,0.40354,0.00633,0.02371,0.04308 ,0.024391
601211,0,0.05289,0.21988,--,1.41363,0.00421,-0.0194,0.05685 ,0.020141
601212,0,0.01697,-0.1866,0.91258,1.25393,0.00457,-0.27076,0.01849 ,0.028628
